"","ridageyr","dmdeduc2","INDFMPIR","riagendr_1","race_1","race_2","race_3","race_4"
"327",3.16227766016838,0,0.877496438739212,1,0,1,0,0
"328",1,2,2.23606797749979,0,1,0,0,0
"329",3.3166247903554,2,1.71172427686237,1,0,0,0,1
"330",3,1.73205080756888,1.48323969741913,1,0,1,0,0
"331",1,0,1.40712472794703,0,0,0,1,0
"333",1.73205080756888,0,1.12249721603218,0,0,0,1,0
"335",4.47213595499958,1.4142135623731,1.89208879284245,1,1,0,0,0
"337",4.35889894354067,1.4142135623731,1.42828568570857,1,0,1,0,0
"338",1.4142135623731,1.4142135623731,1.79164728671689,1,0,0,1,0
"339",2.23606797749979,1.73205080756888,1.71172427686237,0,0,0,0,1
"340",0,0,1.17898261225516,1,1,0,0,0
"341",1.73205080756888,1.73205080756888,1.8,1,0,0,1,0
"342",2.44948974278318,1.73205080756888,2.2,1,0,0,1,0
"343",3.16227766016838,1.73205080756888,1.73781471969828,0,0,1,0,0
"345",2,1.73205080756888,2.03715487874634,0,1,0,0,0
"346",3.87298334620742,1,2.23606797749979,0,1,0,0,0
"348",3,2,2.14242852856286,1,0,0,0,1
"349",1.4142135623731,2,1.62480768092719,0,0,0,0,1
"350",4,1.73205080756888,1.58745078663875,1,0,0,1,0
"351",2.23606797749979,1.73205080756888,1.51986841535707,0,0,1,0,0
"352",1.4142135623731,1.73205080756888,1.9824227601599,1,0,1,0,0
"353",3.16227766016838,1.4142135623731,1.56524758424985,0,1,0,0,0
"354",2.23606797749979,1.73205080756888,0.848528137423857,0,1,0,0,0
"355",0,1.73205080756888,2.23606797749979,0,1,0,0,0
"358",3,1,1.17898261225516,1,0,1,0,0
"359",3.74165738677394,1,0.6,0,0,1,0,0
"361",4.47213595499958,0,1.07238052947636,1,0,0,1,0
"362",4.47213595499958,1.73205080756888,1.63707055437449,1,1,0,0,0
"363",0,1.4142135623731,1.71755640373177,0,1,0,0,0
"364",1.4142135623731,0,1.15325625946708,1,0,0,1,0
"366",0,1,0.866025403784439,1,0,1,0,0
"368",1.4142135623731,1.73205080756888,1.72336879396141,0,0,0,1,0
"370",3.46410161513775,1.4142135623731,1.74355957741627,1,0,0,1,0
"371",2,1.4142135623731,0.489897948556636,1,0,0,1,0
"372",4,0,1.12249721603218,1,0,0,1,0
"373",2.64575131106459,2,2.23606797749979,1,0,1,0,0
"374",4.47213595499958,1.73205080756888,0.883176086632785,1,1,0,0,0
"375",4.47213595499958,1.73205080756888,1.84390889145858,1,1,0,0,0
"376",1.4142135623731,1.4142135623731,2.14242852856286,1,0,1,0,0
"377",1,1.4142135623731,1.00498756211209,1,0,1,0,0
"378",3,1,1.00995049383621,1,0,1,0,0
"379",3,1,1.31529464379659,0,0,0,1,0
"380",2.23606797749979,1,0.812403840463596,0,1,0,0,0
"381",4.47213595499958,1.4142135623731,1.33416640641263,0,0,0,0,1
"382",0,1.4142135623731,2.23606797749979,1,1,0,0,0
"383",2.23606797749979,2,2.23606797749979,1,1,0,0,0
"385",0,1.73205080756888,1.71464281994822,0,0,0,1,0
"386",3.74165738677394,0,1.15325625946708,1,0,1,0,0
"387",2,1,1.8165902124585,0,0,1,0,0
"388",3.74165738677394,1.4142135623731,1.13578166916005,1,1,0,0,0
"389",4.47213595499958,1,1.30384048104053,0,1,0,0,0
"391",1,1.73205080756888,1.3856406460551,0,0,1,0,0
"392",0,1.4142135623731,1.84390889145858,1,0,1,0,0
"393",1,1.4142135623731,0,1,0,0,0,1
"394",2,1.4142135623731,1.06301458127346,1,1,0,0,0
"395",3,1.73205080756888,1.52643375224737,1,0,1,0,0
"398",4,1,1.33041346956501,0,0,1,0,0
"399",2.23606797749979,1,1.6583123951777,1,0,1,0,0
"400",4,2,1.05830052442584,1,1,0,0,0
"403",2.82842712474619,1,0.670820393249937,0,0,0,0,1
"404",1.4142135623731,0,0.854400374531753,1,0,0,1,0
"405",4,1.4142135623731,1.39642400437689,0,1,0,0,0
"406",3.74165738677394,1.4142135623731,2.23606797749979,1,1,0,0,0
"407",1,0,1.2328828005938,1,0,0,1,0
"409",1.4142135623731,0,0.640312423743285,1,0,0,1,0
"410",4.35889894354067,1.4142135623731,1.80277563773199,0,1,0,0,0
"412",4.47213595499958,0,0.877496438739212,0,1,0,0,0
"413",3.74165738677394,1.73205080756888,1.49666295470958,1,0,1,0,0
"414",4.47213595499958,2,2.23606797749979,1,1,0,0,0
"415",2.82842712474619,1,1.17898261225516,0,0,1,0,0
"416",3.87298334620742,2,0.959166304662544,1,1,0,0,0
"417",0,1.73205080756888,2.03224014329016,0,0,0,0,1
"418",1.73205080756888,2,2.23606797749979,0,0,1,0,0
"419",1,1.4142135623731,0.33166247903554,1,0,0,1,0
"420",1.4142135623731,2,1.48323969741913,1,0,0,0,1
"421",4.47213595499958,2,2.23606797749979,1,1,0,0,0
"422",4.47213595499958,1.73205080756888,1.57480157480236,0,1,0,0,0
"425",1.73205080756888,1.4142135623731,1.51986841535707,0,0,1,0,0
"426",1.4142135623731,1.4142135623731,1.15758369027902,1,0,0,0,1
"428",1.4142135623731,1.4142135623731,1.33416640641263,0,1,0,0,0
"429",4.12310562561766,1.73205080756888,2.23606797749979,0,1,0,0,0
"430",3.3166247903554,1.4142135623731,1.56204993518133,0,0,0,1,0
"431",2,1.4142135623731,2.23606797749979,0,0,1,0,0
"432",3.60555127546399,1,1.89208879284245,0,0,1,0,0
"434",3.60555127546399,2,2.01990098767242,1,0,0,0,1
"435",2.64575131106459,1.73205080756888,2.23606797749979,0,1,0,0,0
"436",1.4142135623731,1.4142135623731,0,1,0,0,1,0
"437",3.60555127546399,1.73205080756888,1.25299640861417,0,0,1,0,0
"438",2,1.4142135623731,1.35277492584687,0,0,1,0,0
"440",1.4142135623731,1,2.03224014329016,0,0,1,0,0
"441",4.47213595499958,1.73205080756888,1.40356688476182,0,1,0,0,0
"442",3.60555127546399,1.4142135623731,1.0770329614269,1,1,0,0,0
"443",3.60555127546399,1.73205080756888,1.64924225024706,0,1,0,0,0
"444",1.73205080756888,1.73205080756888,0.6557438524302,1,0,0,1,0
"445",0,1,0.866025403784439,0,0,0,1,0
"446",1.73205080756888,1.73205080756888,1.11803398874989,1,1,0,0,0
"447",0,1.73205080756888,2.23606797749979,1,0,0,1,0
"448",0,1.4142135623731,0.793725393319377,1,0,0,1,0
"449",0,1.4142135623731,1.72336879396141,1,0,0,1,0
"450",4.47213595499958,1,1.00995049383621,0,1,0,0,0
"451",3.46410161513775,1.4142135623731,1.29614813968157,0,0,0,0,1
"452",4.24264068711928,1.4142135623731,1.10453610171873,1,1,0,0,0
"453",3.3166247903554,1.73205080756888,1.30384048104053,0,1,0,0,0
"454",4.12310562561766,2,0.91104335791443,1,0,0,0,1
"455",3.3166247903554,2,1.92353840616713,0,0,0,0,1
"456",3.87298334620742,0,1.67928556237467,0,0,0,1,0
"459",1,1.4142135623731,1.63401346383682,1,0,1,0,0
"460",2.23606797749979,1,1.31529464379659,1,0,1,0,0
"462",1.73205080756888,2,2.23606797749979,1,1,0,0,0
"463",2,1,1.4525839046334,0,0,0,1,0
"464",0,1,0.9,0,0,1,0,0
"465",1.73205080756888,1.73205080756888,1.64924225024706,0,0,0,1,0
"466",1,1.73205080756888,2.23606797749979,0,0,1,0,0
"469",2.23606797749979,0,1.03440804327886,0,0,0,0,1
"471",4.47213595499958,2,2.23606797749979,0,1,0,0,0
"474",1,1,0.818535277187245,0,0,0,1,0
"475",1.73205080756888,1.73205080756888,0.854400374531753,0,1,0,0,0
"477",1.4142135623731,1.73205080756888,1.16619037896906,0,0,1,0,0
"478",3.74165738677394,0,0.806225774829855,0,0,0,0,1
"480",4.24264068711928,1.73205080756888,1.38202749610853,1,1,0,0,0
"481",4.47213595499958,1,1.1,0,1,0,0,0
"482",0,1.4142135623731,1.31909059582729,0,0,1,0,0
"484",2.82842712474619,1.4142135623731,1.88944436276912,1,0,0,1,0
